gene_index	gene_id	is_ensembl
670	Avpr1b	False
671	Ctse	False
672	5430435G22Rik	False
673	Slc26a9	False
674	Pm20d1	False
675	Slc41a1	False
676	Rab7l1	False
677	Nucks1	False
678	Slc45a3	False
679	Elk4	False
680	Mfsd4	False
681	Cdk18	False
682	Lemd1	False
683	Klhdc8a	False
684	Nuak2	False
685	Tmcc2	False
686	Dstyk	False
687	Rbbp5	False
688	Tmem81	False
689	Cntn2	False
690	Nfasc	False
691	Lrrn2	False
692	Mdm4	False
693	Pik3c2b	False
694	Ppp1r15b	False
695	Plekha6	False
696	Gm19461	False
697	Golt1a	False
698	Kiss1	False
699	Ren2	False
700	Ren1	False
701	Etnk2	False
702	Sox13	False
703	Snrpe	False
704	Zc3h11a	False
705	Zbed6	False
706	Lax1	False
707	Atp2b4	False
708	Optc	False
709	Prelp	False
710	Fmod	False
711	Btg2	False
712	Chit1	False
713	Chi3l1	False
714	Mybph	False
715	Adora1	False
716	Myog	False
717	Ppfia4	False
718	Tmem183a	False
719	4933406M09Rik	False
720	Cyb5r1	False
721	Adipor1	False
722	Klhl12	False
723	Rabif	False
724	4931440L10Rik	False
725	Kdm5b	False
726	Syt2	False
727	Ppp1r12b	False
728	Ube2t	False
729	Lgr6	False
730	Ptprv	False
731	Ptpn7	False
732	Arl8a	False
733	Gpr37l1	False
734	Elf3	False
735	Rnpep	False
736	Timm17a	False
737	Lmod1	False
738	Shisa4	False
739	Ipo9	False
740	Nav1	False
741	Csrp1	False
742	Phlda3	False
743	Tnni1	False
744	Lad1	False
745	Tnnt2	False
746	Pkp1	False
747	Igfn1	False
748	Tmem9	False
749	Cacna1s	False
750	6530439I21	False
751	Kif21b	False
752	5730559C18Rik	False
753	Gpr25	False
754	Camsap2	False
755	9230116N13Rik	False
756	Ddx59	False
757	Kif14	False
758	Zfp281	False
759	Gm19705	False
760	Gm16880	False
761	Nr5a2	False
762	Ptprc	False
763	Atp6v1g3	False
764	Nek7	False
765	Gm5833	False
766	Lhx9	False
767	2310009B15Rik	False
768	Dennd1b	False
769	Crb1	False
770	Zbtb41	False
771	Aspm	False
772	F13b	False
773	Cfhr1	False
774	Gm4788	False
775	Cfhr2	False
776	Cfh	False
777	Kcnt2	False
778	Cdc73	False
779	B3galt2	False
780	Glrx2	False
781	Trove2	False
782	Uchl5	False
783	Rgs2	False
784	Rgs13	False
785	Rgs1	False
786	Rgs18	False
787	Fam5c	False
788	Pla2g4a	False
789	7530420F21Rik	False
790	Ptgs2	False
791	Pdc	False
792	2310030A07Rik	False
793	BC003331	False
794	Tpr	False
795	Prg4	False
796	Hmcn1	False
797	C730036E19Rik	False
798	Ivns1abp	False
799	1200016B10Rik	False
800	1190005F20Rik	False
801	Rnf2	False
802	Fam129a	False
803	Edem3	False
804	1700025G04Rik	False
805	Tsen15	False
806	Glt25d2	False
807	Rgl1	False
808	Apobec4	False
809	Arpc5	False
810	Ncf2	False
811	Smg7	False
812	Nmnat2	False
813	Lamc2	False
814	Lamc1	False
815	E330020D12Rik	False
816	1700012A16Rik	False
817	Dhx9	False
818	Npl	False
819	Rgs8	False
820	C230024C17	False
821	Rgs16	False
822	Rnasel	False
823	Rgsl1	False
824	5830403L16Rik	False
825	Gm5531	False
826	Glul	False
827	Zfp648	False
828	4930452N14Rik	False
829	Cacna1e	False
830	Ier5	False
831	Mr1	False
832	Stx6	False
833	Xpr1	False
834	Acbd6	False
835	Lhx4	False
836	Qsox1	False
837	Cep350	False
838	Tor1aip1	False
