tissue,mouse_id,age_months,sex,n_cells
spleen,1-M-63,24m,male,0
spleen,1-M-63,30m,female,0
spleen,1-M-63,30m,male,0
spleen,3-F-56,1m,female,0
spleen,3-F-56,1m,male,0
spleen,3-F-56,3m,female,4644
spleen,3-F-56,3m,male,0
spleen,3-F-56,18m,female,0
spleen,3-F-56,18m,male,0
spleen,3-F-56,21m,female,0
spleen,3-F-56,21m,male,0
spleen,3-F-56,24m,female,0
spleen,3-F-56,24m,male,0
spleen,3-F-56,30m,female,0
spleen,3-F-56,30m,male,0
spleen,3-M-8,1m,female,0
spleen,3-M-8,1m,male,0
spleen,3-M-8,3m,female,0
spleen,3-M-8,3m,male,2493
spleen,3-M-8,18m,female,0
spleen,3-M-8,18m,male,0
spleen,3-M-8,21m,female,0
spleen,3-M-8,21m,male,0
spleen,3-M-8,24m,female,0
spleen,3-M-8,24m,male,0
spleen,3-M-8,30m,female,0
spleen,3-M-8,30m,male,0
spleen,18-F-50,1m,female,0
spleen,18-F-50,1m,male,0
spleen,18-F-50,3m,female,0
spleen,18-F-50,3m,male,0
spleen,18-F-50,18m,female,2943
spleen,18-F-50,18m,male,0
spleen,18-F-50,21m,female,0
spleen,18-F-50,21m,male,0
spleen,18-F-50,24m,female,0
spleen,18-F-50,24m,male,0
spleen,18-F-50,30m,female,0
spleen,18-F-50,30m,male,0
spleen,18-F-51,1m,female,0
spleen,18-F-51,1m,male,0
spleen,18-F-51,3m,female,0
spleen,18-F-51,3m,male,0
spleen,18-F-51,18m,female,3176
spleen,18-F-51,18m,male,0
spleen,18-F-51,21m,female,0
spleen,18-F-51,21m,male,0
spleen,18-F-51,24m,female,0
spleen,18-F-51,24m,male,0
spleen,18-F-51,30m,female,0
spleen,18-F-51,30m,male,0
spleen,21-F-54,1m,female,0
spleen,21-F-54,1m,male,0
spleen,21-F-54,3m,female,0
spleen,21-F-54,3m,male,0
spleen,21-F-54,18m,female,0
spleen,21-F-54,18m,male,0
spleen,21-F-54,21m,female,2955
spleen,21-F-54,21m,male,0
spleen,21-F-54,24m,female,0
spleen,21-F-54,24m,male,0
spleen,21-F-54,30m,female,0
spleen,21-F-54,30m,male,0
spleen,21-F-55,1m,female,0
spleen,21-F-55,1m,male,0
spleen,21-F-55,3m,female,0
spleen,21-F-55,3m,male,0
spleen,21-F-55,18m,female,0
spleen,21-F-55,18m,male,0
spleen,21-F-55,21m,female,3440
spleen,21-F-55,21m,male,0
spleen,21-F-55,24m,female,0
spleen,21-F-55,24m,male,0
spleen,21-F-55,30m,female,0
spleen,21-F-55,30m,male,0
spleen,24-M-58,1m,female,0
spleen,24-M-58,1m,male,0
spleen,24-M-58,3m,female,0
spleen,24-M-58,3m,male,0
spleen,24-M-58,18m,female,0
spleen,24-M-58,18m,male,0
spleen,24-M-58,21m,female,0
spleen,24-M-58,21m,male,0
spleen,24-M-58,24m,female,0
spleen,24-M-58,24m,male,1633
spleen,24-M-58,30m,female,0
spleen,24-M-58,30m,male,0
spleen,24-M-59,1m,female,0
spleen,24-M-59,1m,male,0
spleen,24-M-59,3m,female,0
spleen,24-M-59,3m,male,0
spleen,24-M-59,18m,female,0
spleen,24-M-59,18m,male,0
spleen,24-M-59,21m,female,0
spleen,24-M-59,21m,male,0
spleen,24-M-59,24m,female,0
spleen,24-M-59,24m,male,2502
spleen,24-M-59,30m,female,0
spleen,24-M-59,30m,male,0
spleen,30-M-2,1m,female,0
spleen,30-M-2,1m,male,0
spleen,30-M-2,3m,female,0
spleen,30-M-2,3m,male,0
spleen,30-M-2,18m,female,0
spleen,30-M-2,18m,male,0
spleen,30-M-2,21m,female,0
spleen,30-M-2,21m,male,0
spleen,30-M-2,24m,female,0
spleen,30-M-2,24m,male,0
spleen,30-M-2,30m,female,0
spleen,30-M-2,30m,male,1432
spleen,30-M-3,1m,female,0
spleen,30-M-3,1m,male,0
spleen,30-M-3,3m,female,0
spleen,30-M-3,3m,male,0
spleen,30-M-3,18m,female,0
spleen,30-M-3,18m,male,0
spleen,30-M-3,21m,female,0
spleen,30-M-3,21m,male,0
spleen,30-M-3,24m,female,0
spleen,30-M-3,24m,male,0
spleen,30-M-3,30m,female,0
spleen,30-M-3,30m,male,1426
spleen,30-M-4,1m,female,0
spleen,30-M-4,1m,male,0
spleen,30-M-4,3m,female,0
spleen,30-M-4,3m,male,0
spleen,30-M-4,18m,female,0
spleen,30-M-4,18m,male,0
spleen,30-M-4,21m,female,0
spleen,30-M-4,21m,male,0
